Water Name,County,Spieces,Quanty,Average Length,Date Stocked,Latitude,Longitude
MILLSITE RES,EMERY,RAINBOW,3475,9.95,04/01/2024,39.1014397,-111.1965671
MINERSVILLE RES,BEAVER,TIGER TROUT,4460,2.19,04/15/2024,38.2141363,-112.9235621
MIRROR L Z-3,DUCHESNE,RAINBOW,748,12.25,06/19/2024,40.2172448,-110.5215459
MOCASSIN L WR-53,DUCHESNE,CUTTHROAT,599,1.48,09/23/2024,40.2172448,-110.5215459
MONROE POND,SEVIER,RAINBOW,519,11.5,03/25/2024,38.61098,-112.1082976
MONTICELLO L,SAN JUAN,RAINBOW,1000,9.95,05/22/2024,37.8713829,-109.3428948
MOON L,DUCHESNE,RAINBOW,2134,12.09,05/27/2024,40.2172448,-110.5215459
MOOSE POND,DAGGETT,RAINBOW,699,9.36,05/24/2024,40.9053845,-109.5211063
MOOSEHORN L Z-4,DUCHESNE,RAINBOW,360,11.16,06/25/2024,40.6952827,-110.8936634
MOOSMAN L EBS,GARFIELD,MUSKIE TIGER,50,5.39,06/12/2024,37.8400344,-111.2845025
MORRELL POND TLM,SEVIER,RAINBOW,760,3.99,06/03/2024,38.54706950000001,-111.4370907
MOSS L NBS,WAYNE,TIGER TROUT,61,2.91,07/15/2024,38.3337024,-110.8076084
MT PLEASANT POND,SANPETE,RAINBOW,504,10.14,04/08/2024,39.5469073,-111.4554659
MUD L X-66,DUCHESNE,BROOK TROUT,379,2.93,06/26/2024,40.2172448,-110.5215459
NAVAJO L,KANE,TIGER TROUT,2418,9.07,05/31/2024,37.293251,-112.4291464
NEFFS RES TLM,WAYNE,BROOK TROUT,195,2.62,06/25/2024,38.4466449,-111.4974019
NEW CANYON CR,SANPETE,CUTTHROAT,6000,1.93,09/17/2024,39.3608704,-111.4976046
NEW CANYON RES,SANPETE,TIGER TROUT,375,10.46,06/25/2024,39.3627566,-111.4607526
NEWCASTLE RES,IRON,CRAPPIE BLACK,1041,8.36,05/13/2024,37.6672286,-113.5491639
NEWTON RES,CACHE,MUSKIE TIGER,5000,2.12,04/17/2024,41.8627046,-111.9907837
NINE MILE RES,SANPETE,RAINBOW,1008,10.14,04/08/2024,39.1742427,-111.7092978
NORTH CR,GARFIELD,CUTTHROAT,197,5.76,07/17/2024,37.8400344,-111.2845025
NORTH POND,WASHINGTON,BROWN TROUT,100,4.89,09/26/2024,37.3224877,-113.4776098
NOTCH L W-36,SUMMIT,BROOK TROUT,1499,2.9,07/02/2024,40.8297566,-110.9983515
OAK CR,MILLARD,RAINBOW,142,10.47,05/20/2024,39.6746837,-111.4343549
OAKS PARK RES,UINTAH,BROOK TROUT,4000,3.2,06/08/2024,40.7432905,-109.620699
OGDEN L WR-5,DUCHESNE,CUTTHROAT,1002,1.48,09/23/2024,40.2172448,-110.5215459
OGDEN R,WEBER,RAINBOW,1050,11.63,04/10/2024,41.223,-111.9738304
OLD FORT POND NORTH,UINTAH,RAINBOW,502,8.81,04/22/2024,40.1069499,-109.3783206
OLD FORT POND SOUTH,UINTAH,GRASS CARP STERILE,5,10.0,05/16/2024,40.1069499,-109.3783206
ONE FISH L GR-32,DAGGETT,BROOK TROUT,201,2.93,06/26/2024,40.9053845,-109.5211063
OOWAH L,GRAND,RAINBOW,2000,9.95,06/04/2024,38.5007963,-109.2736745
OSTLER L BR-27,SUMMIT,TIGER TROUT,1404,2.78,07/08/2024,40.8297566,-110.9983515
OTTER CR,PIUTE,BROWN TROUT,5225,3.03,04/23/2024,38.1664001,-112.0185738
OTTER CR RES,PIUTE,RAINBOW,75583,1.98,03/07/2024,38.1664001,-112.0185738
P-11,SUMMIT,BROOK TROUT,51,2.9,07/03/2024,40.8297566,-110.9983515
PACER L EMW,GARFIELD,TIGER TROUT,105,2.68,06/25/2024,37.8400344,-111.2845025
PACKARD L Z-15,DUCHESNE,BROOK TROUT,898,2.9,07/03/2024,40.2172448,-110.5215459
PALISADE RES,SANPETE,RAINBOW,999,10.14,03/21/2024,39.3090085,-111.5706786
PANGUITCH CR,GARFIELD,RAINBOW,503,10.57,07/01/2024,37.82275509999999,-112.4357638
PANGUITCH L,GARFIELD,CUTTHROAT,4715,8.72,04/24/2024,37.82275509999999,-112.4357638
PARADISE RES,UINTAH,RAINBOW,100,13.52,06/05/2024,40.1069499,-109.3783206
PARAGONAH RES,IRON,TIGER TROUT,2002,8.13,07/10/2024,37.8858079,-112.7752206
PAROWAN POND,IRON,RAINBOW,751,10.55,02/29/2024,37.844157,-112.8369996
PASS L Z-5,DUCHESNE,RAINBOW,299,12.25,06/19/2024,40.2172448,-110.5215459
PAYSON RES(BIG EAST),UTAH,RAINBOW,1496,10.44,05/28/2024,40.0435822,-111.7323853
PEAR L NBS,WAYNE,BROOK TROUT,506,2.63,06/24/2024,38.3337024,-110.8076084
PEARL L WR-45,UINTAH,CUTTHROAT,299,1.48,09/23/2024,40.1867357,-109.3306636
PELICAN L,UINTAH,MUSKIE TIGER,8970,2.0,04/16/2024,40.1069499,-109.3783206
PETES HOLE,SANPETE,RAINBOW,250,10.77,06/18/2024,39.2920876,-111.3869727
PETIT L A-26,SUMMIT,BROOK TROUT,133,2.9,07/03/2024,40.8297566,-110.9983515
PINE CR,WAYNE,BROWN TROUT,3000,2.59,04/17/2024,38.3337024,-110.8076084
PINE CR RES BTN,WAYNE,TIGER TROUT,52,2.68,06/24/2024,38.3337024,-110.8076084
PINE ISLAND L X-8,DUCHESNE,BROOK TROUT,8378,2.91,06/28/2024,40.2172448,-110.5215459
PINE L,GARFIELD,RAINBOW,3120,10.09,04/25/2024,37.8400344,-111.2845025
PINE VALLEY RES,WASHINGTON,TIGER TROUT,1038,8.67,05/14/2024,37.3911899,-113.5137821
PINEVIEW RES,WEBER,MUSKIE TIGER,13000,2.12,04/17/2024,41.2689768,-111.8002195
PIONEER PARK P,BOX ELDER,RAINBOW,500,10.0,03/28/2024,41.512225,-112.026751
PITTSBURGH L,UTAH,BROOK TROUT,996,2.92,07/01/2024,40.0966287,-111.5706786
PIUTE RES,PIUTE,RAINBOW,13584,3.49,03/01/2024,38.3997408,-112.1430215
PLEASANT CR L-BTS,GARFIELD,BROOK TROUT,96,2.63,06/24/2024,37.8400344,-111.2845025
POLE CANYON PARK POND,UTAH,RAINBOW,506,10.44,03/27/2024,40.2917498,-112.0893682
POLE CR L,DUCHESNE,TIGER TROUT,495,3.64,06/26/2024,40.2172448,-110.5215459
POND AT POULTER PRESERVE,WEBER,SUNFISH BLUEGILL,5070,3.38,10/03/2024,41.2602635,-111.9522491
PORCUPINE L,IRON,BROOK TROUT,59,2.96,07/16/2024,37.7854715,-113.1918021
PORCUPINE L LF-22,DUCHESNE,CUTTHROAT,299,1.48,09/23/2024,40.2172448,-110.5215459
PORCUPINE RES,CACHE,RAINBOW,675,12.6,05/08/2024,41.7560026,-111.7614661
POSEY L,GARFIELD,RAINBOW,639,7.88,06/19/2024,37.8003323,-111.5977352
POT L A-8,SUMMIT,BROOK TROUT,398,2.9,07/03/2024,40.8297566,-110.9983515
POTTERS NO 1,EMERY,RAINBOW,998,10.6,06/05/2024,39.0738385,-110.7122465
POTTERS NO 2,EMERY,RAINBOW,998,10.6,06/05/2024,39.0738385,-110.7122465
PRICE R,UTAH,BROWN TROUT,13001,2.57,06/10/2024,39.6823473945892,-110.8985193005118
PRICE R(LWR FISH CR),CARBON,BROWN TROUT,16002,2.54,06/10/2024,39.6448343,-110.9848813
PRIORD L BR-48,SUMMIT,TIGER TROUT,1195,2.78,07/08/2024,40.8297566,-110.9983515
PROVO DELTA COMM FISHERY,UTAH,SUCKER,1664,3.38,10/03/2024,40.2420087,-111.7205001
PROVO R,SUMMIT,RAINBOW,270,11.16,07/01/2024,40.46164558839497,-111.3322189422266
PUFFER L,BEAVER,RAINBOW,3312,10.24,06/19/2024,38.3266376,-113.287085
PURPLE L GT,GARFIELD,BROOK TROUT,205,2.63,06/24/2024,37.8400344,-111.2845025
QUAIL CR RES,WASHINGTON,RAINBOW,11183,10.24,10/30/2024,37.3224877,-113.4776098
QUARTER CORNER LG103,SUMMIT,RAINBOW,900,10.77,05/30/2024,40.8297566,-110.9983515
R C NO 1 LAKE WR-2,DUCHESNE,CUTTHROAT,599,1.48,09/23/2024,40.2172448,-110.5215459
RAFT L BTN,WAYNE,BROOK TROUT,396,2.63,06/24/2024,38.3337024,-110.8076084
RAINBOW L U-33,DUCHESNE,TIGER TROUT,698,3.64,06/26/2024,40.2172448,-110.5215459
RAINBOW RES,TOOELE,RAINBOW,801,9.83,05/03/2024,40.507092,-113.0011989
RAMONA L A-38,SUMMIT,BROOK TROUT,469,2.9,07/03/2024,40.8297566,-110.9983515
RANGER L FL,SEVIER,BROOK TROUT,356,3.25,08/12/2024,38.7333524,-111.6660725
RAZOR RIDGE P,WASHINGTON,RAINBOW,250,10.21,01/03/2024,37.1579806,-113.4392092
RED BUTTE RES,SALT LAKE,CUTTHROAT,101,7.25,06/11/2024,40.7785855,-111.8095351
RED CASTLE L G-15,SUMMIT,TIGER TROUT,5603,2.78,07/08/2024,40.8005004,-110.4615507
"RED CASTLE,EAST G-17",SUMMIT,TIGER TROUT,696,2.78,07/08/2024,40.8005004,-110.4615507
"RED CASTLE,LOWER G12",SUMMIT,BROOK TROUT,2203,2.9,07/09/2024,40.8005004,-110.4615507
"RED CASTLE,UPPER G16",SUMMIT,TIGER TROUT,847,2.78,07/08/2024,40.8005004,-110.4615507
RED CR,DUCHESNE,CUTTHROAT,1714,4.47,04/21/2024,40.2172448,-110.5215459
RED CR RES,DUCHESNE,TIGER TROUT,5000,3.17,05/29/2024,40.2172448,-110.5215459
RED FLEET RES,UINTAH,WALLEYE,28500,0.41,04/11/2024,40.5788912,-109.4273987
RED L GR-33,DAGGETT,MUSKIE TIGER,210,5.93,06/26/2024,40.9053845,-109.5211063
REX RES,SEVIER,RAINBOW,4032,2.8,07/02/2024,38.7333524,-111.6660725
RICHES POND,SANPETE,BROOK TROUT,125,2.71,07/01/2024,39.3090085,-111.5706786
RIDGE L BTN,GARFIELD,BROOK TROUT,55,2.63,06/24/2024,37.8400344,-111.2845025
RIM L BTS,GARFIELD,BROOK TROUT,305,2.62,06/24/2024,37.8400344,-111.2845025
RIVERFRONT POND,SALT LAKE,RAINBOW,126,16.67,01/23/2024,40.5451418,-111.9171096
RIVERTON POND,SALT LAKE,RAINBOW,500,9.75,02/21/2024,40.5017277,-111.969762
ROAD POND,SANPETE,BROOK TROUT,50,2.71,07/01/2024,39.3090085,-111.5706786
ROB RES EMW,GARFIELD,CUTTHROAT,291,1.9,09/26/2024,37.8400344,-111.2845025
ROBB L WR-1,DUCHESNE,BROOK TROUT,320,2.93,06/26/2024,40.2172448,-110.5215459
ROCK CR,DUCHESNE,TIGER TROUT,268,3.26,06/07/2024,40.3897894,-110.5159601
"ROCK CR, S FK",DUCHESNE,BROOK TROUT,931,4.85,08/19/2024,40.3897894,-110.5159601
ROCKPORT RES,SUMMIT,RAINBOW,2063,12.6,04/29/2024,40.7743392,-111.4007597
ROOSEVELT COMM POND,UINTAH,RAINBOW,100,5.71,06/01/2024,40.1069499,-109.3783206
ROUND L NBS,WAYNE,BROOK TROUT,998,2.63,06/24/2024,38.3337024,-110.8076084
ROUND L TLM,WAYNE,RAINBOW,762,3.99,06/03/2024,38.3337024,-110.8076084
ROUND WILLOW BOTTOM,GARFIELD,CUTTHROAT,500,1.69,09/26/2024,37.9066522,-111.8924114
ROW L 3 GT,GARFIELD,TIGER TROUT,153,9.66,06/24/2024,37.8400344,-111.2845025
ROW L 7-BANANA-GT,GARFIELD,TIGER TROUT,350,9.66,06/24/2024,37.8400344,-111.2845025
ROW L 8 GT,GARFIELD,TIGER TROUT,250,9.66,06/24/2024,37.8400344,-111.2845025
RUTH L BR-40,SUMMIT,BROOK TROUT,500,2.9,07/02/2024,40.8297566,-110.9983515
SALEM POND,UTAH,BROOK TROUT,327,15.21,01/22/2024,40.0512796,-111.6763373
SALINA CITY POND,SEVIER,RAINBOW,550,9.95,03/27/2024,38.9577407,-111.859925
SALINA RES,SEVIER,RAINBOW,1000,9.95,06/10/2024,38.9577407,-111.859925
"SALINA TWIN, EAST",SEVIER,TIGER TROUT,103,3.45,08/12/2024,38.9577407,-111.859925
"SALINA TWIN, WEST",SEVIER,BROOK TROUT,104,3.37,08/12/2024,38.9577407,-111.859925
SALT CR,JUAB,RAINBOW,1001,9.87,03/18/2024,39.7108104,-112.7152125
SALT CREEK RES.,JUAB,RAINBOW,494,9.87,03/18/2024,39.7108104,-112.7152125
"SAND COVE RES, UPPER",WASHINGTON,RAINBOW,2500,9.8,09/30/2024,37.2836981,-113.7448748
SAND L WR-42,UINTAH,CUTTHROAT,403,1.48,09/23/2024,40.1069499,-109.3783206
SANDY COMMUNITY FISHERY,SALT LAKE,RAINBOW,499,9.52,03/11/2024,40.5709475,-111.8953784
SCOFIELD RES,CARBON,MUSKIE TIGER,3667,2.74,05/09/2024,39.777489,-111.1503649
SCOUT L,IRON,TIGER TROUT,754,8.99,06/10/2024,37.7854715,-113.1918021
SCOUT L Z-12,DUCHESNE,RAINBOW,810,11.16,06/25/2024,40.2172448,-110.5215459
SETTLEMENT CYN RES,TOOELE,RAINBOW,1992,10.14,04/04/2024,40.51716649999999,-112.3024468
SEVIER R,GARFIELD,BROWN TROUT,20384,3.46,05/14/2024,38.1006758,-112.0124171
"SEVIER R, E FK",PIUTE,RAINBOW,723,11.32,03/26/2024,38.3997408,-112.1430215
SHADOW L A-52,SUMMIT,BROOK TROUT,704,2.9,07/03/2024,40.8297566,-110.9983515
SHALER L Z-34,DUCHESNE,CUTTHROAT,1301,1.48,09/23/2024,40.2172448,-110.5215459
SHEEP CR,DAGGETT,RAINBOW,373,10.36,06/25/2024,40.9053845,-109.5211063
SHEEP CR L,DAGGETT,CUTTHROAT,4009,4.6,06/20/2024,40.9053845,-109.5211063
"SHINGLE CR,EAST A-39",SUMMIT,TIGER TROUT,255,2.78,07/08/2024,40.8297566,-110.9983515
"SHINGLE CR,WEST P-60",SUMMIT,BROOK TROUT,255,2.9,07/03/2024,40.8297566,-110.9983515
SHINGLE MILL RES,SANPETE,RAINBOW,1200,10.77,07/09/2024,39.096004,-111.5149702
SHORT L,GARFIELD,CUTTHROAT,300,1.69,09/26/2024,37.8400344,-111.2845025
SILENT VIGIL,SANPETE,BROOK TROUT,50,2.71,07/01/2024,39.3090085,-111.5706786
SILVER L,UTAH,BROOK TROUT,1295,2.92,07/01/2024,40.0966287,-111.5706786
SILVER L FLAT RES,UTAH,RAINBOW,1999,10.22,06/18/2024,40.0966287,-111.5706786
SILVER L-BRIGHTON,SALT LAKE,RAINBOW,1498,9.76,06/18/2024,40.60384,-111.5821429
SIX MILE CR,SANPETE,CUTTHROAT,7960,1.93,09/16/2024,39.1964517,-111.5630413
SIX MILE POND,SANPETE,BROOK TROUT,351,2.71,07/01/2024,39.1507161,-111.5722182
SKUTUMPA RES,SEVIER,RAINBOW,409,10.47,05/15/2024,38.7333524,-111.6660725
SKYLERS POND,CACHE,RAINBOW,100,17.1,04/18/2024,41.7193628,-111.8508327
SKYLINE P,WASHINGTON,RAINBOW,448,10.41,01/02/2024,37.3224877,-113.4776098
SMITH FAMILY PARK POND,WEBER,RAINBOW,799,11.16,02/21/2024,41.33198549999999,-112.0379439
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,2520,12.13,05/23/2024,40.7658315,-111.1086417
SMITHFIELD CR,CACHE,RAINBOW,500,12.1,05/31/2024,41.8382622,-111.8327229
SMITHS FK PASS L G14,SUMMIT,TIGER TROUT,696,2.78,07/08/2024,40.8297566,-110.9983515
SNOW L,SANPETE,RAINBOW,1000,10.96,08/05/2024,39.3090085,-111.5706786
SOLITAIRE L NBS,WAYNE,CUTTHROAT,500,1.68,09/26/2024,38.3337024,-110.8076084
SOUP BOWL RES,SANPETE,RAINBOW,500,10.77,06/18/2024,39.3090085,-111.5706786
SOUTH EDEN RESERVOIR,RICH,TIGER TROUT,396,11.16,10/16/2024,41.9171597,-111.220477
SPANISH FK R,UTAH,BROWN TROUT,1960,5.73,07/17/2024,40.114955,-111.654923
SPANISH OAKS P,UTAH,RAINBOW,1001,10.28,03/06/2024,40.0749077,-111.6022129
SPECTACLE L A-44,SUMMIT,BROOK TROUT,326,2.9,07/03/2024,40.8297566,-110.9983515
SPECTACLE L BTS,GARFIELD,BROOK TROUT,347,2.62,06/24/2024,37.8400344,-111.2845025
SPINNERS RES,SANPETE,RAINBOW,1500,10.77,07/02/2024,39.3090085,-111.5706786
SPIRIT L GR-3,DAGGETT,CUTTHROAT,1000,5.6,07/01/2024,40.9053845,-109.5211063
SPRING HILL P #1,SANPETE,RAINBOW,843,10.84,06/10/2024,39.3090085,-111.5706786
SPRING L,UTAH,RAINBOW,232,18.74,02/27/2024,40.0010658,-111.7463199
STAR L A-42,SUMMIT,TIGER TROUT,1404,2.78,07/08/2024,40.8297566,-110.9983515
STARVATION RES,DUCHESNE,SUCKER,1495,3.38,10/03/2024,40.1837866,-110.4768555
STATE FAIR PARK POND,SALT LAKE,CHANNEL CATFISH,1030,13.57,09/05/2024,40.7736893,-111.9231567
STATELINE RES,SUMMIT,RAINBOW,5040,12.13,05/28/2024,40.8297566,-110.9983515
STEED POND,DAVIS,RAINBOW,500,11.16,02/21/2024,41.1225775,-112.043945
STEEL CR,SUMMIT,CUTTHROAT,214,5.58,07/17/2024,40.8297566,-110.9983515
STEINAKER RES,UINTAH,TIGER TROUT,1501,2.19,04/15/2024,40.5161047,-109.5344945
STILLWATER FK,SUMMIT,RAINBOW,240,10.14,07/02/2024,40.8297566,-110.9983515
STODDARD SLOUGH,MORGAN,RAINBOW,502,10.24,05/14/2024,41.0632776,-111.7093785
STONE L FL,SEVIER,BROOK TROUT,96,2.63,06/24/2024,38.7333524,-111.6660725
STRATTON P,WASHINGTON,RAINBOW,294,10.21,01/03/2024,37.3224877,-113.4776098
STRAWBERRY R,DUCHESNE,RAINBOW,508,9.43,06/13/2024,40.1777785,-110.6489611
"STRAWBERRY R, UPPER",WASATCH,CUTTHROAT,10854,9.17,06/24/2024,40.3629418,-110.9983515
STRAWBERRY RES,WASATCH,KOKANEE,132376,2.38,02/26/2024,40.1718288,-111.1294996
SUNSET POND,SALT LAKE,RAINBOW,249,9.52,03/18/2024,40.5357797,-111.8693414
SURVEY L RC-20,DUCHESNE,BROOK TROUT,97,2.91,06/28/2024,40.2172448,-110.5215459
SURVEYORS L BTN,GARFIELD,BROOK TROUT,246,2.63,06/24/2024,37.8400344,-111.2845025
TALL FOUR RES,GARFIELD,CUTTHROAT,105,2.9,08/21/2024,37.8400344,-111.2845025
TAMARACK L GR-2,SUMMIT,TIGER TROUT,1998,3.64,06/26/2024,40.8297566,-110.9983515
TEAL SP,BOX ELDER,RAINBOW,750,11.91,04/12/2024,41.5380087,-113.1918021
TEAPOT L A-60,SUMMIT,RAINBOW,503,12.25,06/19/2024,40.8297566,-110.9983515
THISTLE CR,UTAH,BROWN TROUT,2100,5.73,07/17/2024,39.9913448,-111.4982447
THREE CREEKS RES,BEAVER,RAINBOW,1000,9.95,06/12/2024,38.306643,-112.407692
THREE MILE CR,GARFIELD,CUTTHROAT,4500,1.85,09/23/2024,37.8653697,-112.5424374
TIBBLE FK RES,UTAH,RAINBOW,1001,9.87,04/25/2024,40.2262583,-111.6607527
TIDWELL RES,SEVIER,RAINBOW,303,3.99,06/03/2024,38.7333524,-111.6660725
TONY GROVE L,CACHE,RAINBOW,2500,12.34,07/02/2024,41.8927134,-111.6429693
TOQUER L LF-25,DUCHESNE,CUTTHROAT,444,1.48,09/23/2024,40.2172448,-110.5215459
"TOWA P, UPPER",WASHINGTON,RAINBOW,640,10.41,01/02/2024,37.3224877,-113.4776098
TOWA P. LOWER,WASHINGTON,RAINBOW,384,10.41,01/02/2024,37.3224877,-113.4776098
TOWNE RES,SANPETE,RAINBOW,990,10.44,05/28/2024,39.3090085,-111.5706786
TRIAL L A-61,SUMMIT,RAINBOW,1224,12.25,06/17/2024,40.8297566,-110.9983515
TRIDENT L A-41,SUMMIT,BROOK TROUT,102,2.9,07/03/2024,40.8297566,-110.9983515
TROPIC RES,GARFIELD,RAINBOW,3520,10.39,04/25/2024,37.6252615,-112.0821359
TULE L,GARFIELD,BROOK TROUT,152,2.62,06/25/2024,37.8400344,-111.2845025
TWELVE MILE CR,SANPETE,CUTTHROAT,6129,1.93,09/16/2024,39.1448744,-111.5369819
TWIN CREEK,SANPETE,CUTTHROAT,2000,1.93,09/17/2024,39.4825233,-111.3811496
TWIN L,SANPETE,RAINBOW,506,10.44,05/28/2024,39.3090085,-111.5706786
TWIN L X-49,DUCHESNE,CUTTHROAT,702,1.48,09/23/2024,40.2172448,-110.5215459
TWIN L X-77,DUCHESNE,GRAYLING ARCTIC,326,2.47,09/23/2024,40.2172448,-110.5215459
"TWIN L, LOWER A-33",SUMMIT,TIGER TROUT,302,2.78,07/08/2024,40.8297566,-110.9983515
"TWIN L, NORTH GR-50",UINTAH,MUSKIE TIGER,165,5.93,06/26/2024,40.1069499,-109.3783206
"TWIN L, UPPER A-32",SUMMIT,BROOK TROUT,449,2.9,07/03/2024,40.660678,-111.280806
TWOMILE CR,SAN JUAN,CUTTHROAT,1096,2.41,08/08/2024,38.4216885,-109.1503581
U M CR,SEVIER,TIGER TROUT,103,3.45,08/12/2024,38.7333524,-111.6660725
U- 22,DUCHESNE,BROOK TROUT,604,2.93,06/26/2024,40.2172448,-110.5215459
U- 75,DUCHESNE,CUTTHROAT,524,1.85,09/23/2024,40.2172448,-110.5215459
U- 91,DUCHESNE,CUTTHROAT,524,1.85,09/23/2024,40.2172448,-110.5215459
UINTA POND,DUCHESNE,BROOK TROUT,104,3.2,06/08/2024,40.2172448,-110.5215459
UINTA R,DUCHESNE,RAINBOW,1000,10.19,06/28/2024,40.2172448,-110.5215459
UPPER STILLWATER RES,DUCHESNE,BROOK TROUT,3036,4.67,08/19/2024,40.5686576,-110.7018168
UPPER WPA,SANPETE,BROOK TROUT,276,2.71,07/01/2024,39.3090085,-111.5706786
UTAH L,UTAH,SUCKER,14000,10.18,07/02/2024,40.0966287,-111.5706786
VERNON CR RES,TOOELE,RAINBOW,1104,10.14,03/21/2024,40.0921678,-112.4335642
VIC'S POND,SANPETE,BROOK TROUT,50,2.71,07/01/2024,39.3090085,-111.5706786
VIRGINR RIVER PARK POND,WASHINGTON,RAINBOW,320,10.41,01/02/2024,37.1177715,-113.5016582
VIVIAN PARK P,UTAH,RAINBOW,498,9.28,04/08/2024,40.357262,-111.571884
W-16,SUMMIT,BROOK TROUT,398,2.9,07/02/2024,40.8297566,-110.9983515
W-52,SUMMIT,BROOK TROUT,357,2.9,07/02/2024,40.8297566,-110.9983515
WALL L A-29,SUMMIT,TIGER TROUT,1844,2.78,07/08/2024,40.8297566,-110.9983515
WALLSBURG CR,WASATCH,CUTTHROAT,101,7.25,06/11/2024,40.3877164,-111.4227333
WARNER L,GRAND,RAINBOW,1000,9.95,06/04/2024,38.504847,-109.3237333
WASATCH MTN STATE PARK P,WASATCH,RAINBOW,500,9.27,04/09/2024,40.3629418,-110.9983515
WASHINGTON L A-23,SUMMIT,RAINBOW,571,12.25,06/19/2024,40.8297566,-110.9983515
WATSON L A-27,SUMMIT,BROOK TROUT,296,2.9,07/03/2024,40.8297566,-110.9983515
WEAVER RES,GRAND,CUTTHROAT,1830,5.92,07/22/2024,39.0857902,-109.7591675
WEBER R,WEBER,RAINBOW,1400,11.06,05/09/2024,41.2602635,-111.9522491
"WEEP L, OLD LF-30",DUCHESNE,CUTTHROAT,454,1.48,09/23/2024,40.2172448,-110.5215459
WELLSVILLE RES,CACHE,RAINBOW,1001,9.52,03/26/2024,41.6385432,-111.9338342
WHITNEY RES,SUMMIT,RAINBOW,3655,10.52,06/11/2024,40.854184,-110.8910129
WIDE HOLLOW RES,GARFIELD,TIGER TROUT,499,9.62,06/19/2024,37.7874848,-111.6370072
WILDER L Z-13,DUCHESNE,BROOK TROUT,398,2.9,07/03/2024,40.2172448,-110.5215459
WILLARD BAY RES,BOX ELDER,WALLEYE,225000,0.41,04/01/2024,41.3773942,-112.0834066
WILLARD CR POND,BOX ELDER,RAINBOW,237,8.77,03/13/2024,41.4127699,-112.0408891
WILLOW CREEK POND,UTAH,RAINBOW,499,9.52,03/11/2024,40.0966287,-111.5706786
WILLOW L,SANPETE,RAINBOW,1000,10.77,06/13/2024,39.3090085,-111.5706786
WILLOW PARK PND,SALT LAKE,BROOK TROUT,327,15.21,01/22/2024,40.6380002,-111.9174068
WILLOW SPRING POND,WASHINGTON,RAINBOW,473,10.08,05/01/2024,37.3224877,-113.4776098
WOLF CR,DUCHESNE,BROOK TROUT,1861,4.85,08/19/2024,40.2172448,-110.5215459
WOODS POND,IRON,RAINBOW,261,10.19,05/14/2024,37.7854715,-113.1918021
"WPA POND, UPPER",SANPETE,RAINBOW,1700,10.77,07/09/2024,39.1171221,-111.5246586
WRIGLEY SPRING RES,EMERY,RAINBOW,1000,10.77,06/13/2024,39.0899699,-111.2990627
YANKEE MEADOW RES,IRON,RAINBOW,1000,10.24,05/21/2024,37.7510181,-112.7740554
YEARNS RES,SANPETE,TIGER TROUT,504,10.07,05/08/2024,39.3090085,-111.5706786
YELLOW LAKE NCL,GARFIELD,BROOK TROUT,69,2.62,06/25/2024,37.8400344,-111.2845025
"YELLOWPINE,LOWER W66",SUMMIT,BROOK TROUT,204,2.9,07/02/2024,40.6311024,-111.1738385
"YELLOWPINE,UPPER W65",SUMMIT,BROOK TROUT,296,2.9,07/02/2024,40.6311024,-111.1738385
YELLOWSTONE R,DUCHESNE,RAINBOW,498,10.14,06/25/2024,40.2172448,-110.5215459
YUBA RES (SEVIER BRG,JUAB,WALLEYE,20500,0.41,04/04/2024,39.7108104,-112.7152125
ABES L W-30,SUMMIT,CUTTHROAT,1999,2.28,9/19/2023,40.8297566,-110.9983515
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2301,2.68,7/13/2023,40.8297566,-110.9983515
ARTA L RC-23,DUCHESNE,CUTTHROAT,561,1.45,9/19/2023,40.2172448,-110.5215459
AVINTAQUIN CR,DUCHESNE,CUTTHROAT,1420,5.51,7/10/2023,40.0570951,-110.758405
BELL CR,SALT LAKE,CUTTHROAT,3000,3.18,10/31/2023,40.644188,-111.9522491
BETSEY L X-7,DUCHESNE,CUTTHROAT,1965,1.45,9/19/2023,40.2172448,-110.5215459
BITTER CR,UINTAH,CUTTHROAT,1001,1.95,10/4/2023,40.1069499,-109.3783206
BLIND L TLM,WAYNE,BROOK TROUT,103,2.9,7/25/2023,38.3337024,-110.8076084
BLUE L GT,GARFIELD,CUTTHROAT,51,1.31,9/18/2023,37.8400344,-111.2845025
BOBS L G-73,SUMMIT,CUTTHROAT,1326,1.73,9/19/2023,40.8297566,-110.9983515
BOLLEY L U-96,DUCHESNE,CUTTHROAT,936,1.45,9/19/2023,40.2172448,-110.5215459
BR-35,SUMMIT,TIGER TROUT,132,2.83,7/14/2023,40.8297566,-110.9983515
BRINKLEY L RC-4,DUCHESNE,BROOK TROUT,602,3.0,7/21/2023,40.2172448,-110.5215459
BROADHEAD L D-40,WASATCH,BROOK TROUT,897,2.68,7/13/2023,40.3957499,-111.3026424
BROOK L U-54,DUCHESNE,BROOK TROUT,1003,3.0,7/21/2023,40.2172448,-110.5215459
BUMMER L GR-22,DAGGETT,CUTTHROAT,221,1.73,9/19/2023,40.9053845,-109.5211063
CASTLE L W-67,SUMMIT,CUTTHROAT,399,2.28,9/19/2023,40.8297566,-110.9983515
CEDAR CR,SANPETE,CUTTHROAT,3052,1.87,9/11/2023,39.7858867,-111.4572571
